epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.651,1.23398,2.06005,1.19591,0.85974,0.74016,0.87513,0.61153,0.98664,2.56313,0.9805,0.000658635,0.000658635,0.000658635
2,919.256,1.2556,1.43243,1.20984,0.94558,0.85039,0.91084,0.6433,0.98981,1.67041,1.03802,0.000887952,0.000887952,0.000887952
3,1380.29,1.21785,1.13975,1.20803,0.9515,0.92696,0.961,0.75116,0.85038,1.12213,1.01127,0.000677269,0.000677269,0.000677269
